Tên sản phẩm,Giá trước khi giảm,Giá sau khi giảm,Image_url
PC Dell Vostro 3471 ST (46R631W) (Pentium G5420/4GB/1TB HDD/UHD 610/Win10),8.090.000đ,7.690.000đ,https://lh3.googleusercontent.com/Ncy8Ca_IAIXHuvgvYSwSqvV3lBA-7jCPI4Ht1xOC8ZgYB1zxdGV6HDUKvGFQHcdYxjBAr0XTJlt_IvJvHtfP=w500-rw
PC HP S01-pF0303d (7XE48AA) (Pentium G5420/4GB/1TB HDD/UHD 610/Win10),7.090.000đ,6.590.000đ,https://lh3.googleusercontent.com/RNLFIr-T8xRUkoZIEQn7Gp_6TV5BU8-m61l4iJQpQDS9fCeBXywwfuq_xtI05cZJOw-gB5oHZLQbOZRl19s=w500-rw
Máy tính để bàn/ PC Phong Vũ Gaming Gigabyte Aorus B360 (i5 9400F/16GB/120 GB/GTX1660Ti OC 6GB/),26.840.000đ,19.990.000đ,https://lh3.googleusercontent.com/QinLpKdCLSEkH92v2g7zxNUOlRi6NK_WAoJvIErKH-ZT1CKj_aZ7Rh-kynVjDnmV7LCfc3Mv41xQd92kD7Y=w500-rw
PC Dell Inspiron 3471 ST (52RP01W) (i3-9100/4GB/1TB HDD/UHD 630/Win10),8.990.000đ,8.390.000đ,https://lh3.googleusercontent.com/uEolB0j7s_EAM-uqQP6Ee1WmcpN6YBEBcFbAQgDOAO1f8Ofx3CYYq3TuLTFzof994fDLtFFHME0B8gxOZQ=w500-rw
Máy tính để bàn - PC Acer Aspire M230 UX.VQVSI.143 (G5400/4GB/1TB HDD/UHD 610/Endless),8.490.000đ,6.690.000đ,https://lh3.googleusercontent.com/QyOsMShAtXdZpjDYntlJd9Cv6I9fQJzoBTlnr800X0SnQH93Q6NpfWh5S_S7N4-r4QlrkUnhfuuqx1eCH0Q=w500-rw
Máy tính để bàn - PC Acer Aspire M230 UX.VQVSI.144 (i3-8100/4GB/1TB HDD/UHD 630/Endless),9.990.000đ,8.490.000đ,https://lh3.googleusercontent.com/MX32C__dXvG3xl6jpEheNPhI_vUC1TKzOprx3IFFHfT0Gh7HWtnRINanU8bkSdv12rOWnwAcr10imBF00Lw=w500-rw
PC Acer Aspire XC-886 (DT.BDDSV.004) (i5-9400/4GB/1TB HDD/UHD 630/Win10),12.990.000đ,12.490.000đ,https://lh3.googleusercontent.com/LyvmcHot_Y9tY0xxlvUdVK-ww2kg3ySmMSwWlPl6Cs36T3QecXOF-0moDC6qmev8lLuctxVgOhbGb_V2sw=w500-rw
Máy tính để bàn - PC Phong Vũ PUBG 1 (i5-8400/16GB/128GB SSD/GTX 1070Ti),None,LIÊN HỆ,https://lh3.googleusercontent.com/nw_Q0o_eiWCC6ejnjNFbNSnbR7x-QSXHcs_lctyTVRielmwhXtHz_OlvXCdkUPeAAiwI3jXvqmRwYqsyOA=w500-rw
Máy tính để bàn - PC Acer AS XC-885 (i3-8100/4GB/1TB HDD/UHD 630/Endless),8.990.000đ,7.990.000đ,https://lh3.googleusercontent.com/hDrzT7Df90RM04eHGQS4nGK0OjUFyxzzydo-v7beIHLoOlZYwWjSndyqSSVLeCbCmKAOjG6oQGARCqHBRhg=w500-rw
Máy tính để bàn - PC HP ProDesk 400 G5 SFF 4VQ87PA (i3-8100T/4GB/1TB HDD/UHD 630/Free DOS),10.388.000đ,7.990.000đ,https://lh3.googleusercontent.com/CzGLv3p4Co6eqwSIBVqf31Y6NY18iBuBTJX2VoCswzCJWjkoHSyPiHr0GmXFxW7fkiYZnrCxPbAgMH8W9g=w500-rw
Máy tính để bàn - PC Intel NUC Kit NUC7i3BNHXF Baby Canyon NUC7i3BNHXF (i3-7100U/4GB/1TB HDD/Iris 620),13.530.000đ,10.990.000đ,https://lh3.googleusercontent.com/TgRv-hwgPH5vQzzjVLs0e1HEg3ZGHtCDaEDMnJTfP1_jtbOH5MC5ivkzfTu7CO2EOpN-ehC3QMp2lM43W1sX=w500-rw
Máy tính để bàn - PC HP ProDesk 400 G5 SFF 4TT18PA (i5-8500/4GB/1TB HDD/UHD 630/Free DOS),12.712.000đ,11.390.000đ,https://lh3.googleusercontent.com/UupBD6GQ5M3QAjb6qAzpVDj2hLAPUisYvKwd3XFzcHL5obaZifdU1zMSmdi8J2OyEx8PuR_7uy7cXYbJJWgZ=w500-rw
PC Dell Inspiron 3671 MT 70205608 (i5-9400/8GB/1TB HDD/UHD 630/Win10),12.190.000đ,11.990.000đ,https://lh3.googleusercontent.com/dx8HYw7Fk7tLfJy7V0vfCopEil_b6WPKlKw3FywLinFeAiXIY8BtWIrHrjz7cWeY3fEEXh9uJBe1tWxgrhA=w500-rw
Máy tính để bàn - PC HP Desktop Pro A G2 MT 7GR85PA (R3 PRO 2200G/4GB/1TB HDD/Radeon Vega 8/Free DOS),8.590.000đ,6.490.000đ,https://lh3.googleusercontent.com/HhaktKydPkEqVXhzYFi77xddkNa-AOqiXBMnVnJpWObFtO-qhLQqCWlY93cMdgrr87nqJ6WIn6AJuxp2oFqV=w500-rw
PC HP S01-pF0102d (7XE21AA) (i5-9400/4GB/1TB HDD/UHD 630/Win10),11.790.000đ,11.590.000đ,https://lh3.googleusercontent.com/0Jq12lhEw2h4i4fGjzg0lpTLIRwd4Nrj5_-FROC35KvwbzYxJm_p9kQtkehH_VWTXSgg5dC7XCa0CWxbCZfn=w500-rw
PC Acer Aspire XC-886 (DT.BDDSV.006) (i3-9100/4GB/1TB HDD/UHD 630/Endless),9.690.000đ,9.390.000đ,https://lh3.googleusercontent.com/jl7t-TtNIfHd4LAn1zq82bhgeJYNEX9higsrE_zvJcmN59S0p2S632gTrx6yAAwo9tklWM3GGEN21AAM6A=w500-rw
PC Lenovo V530-15ICR (11BHS07200) (i5-9400/4GB/1TB HDD/UHD 630/Free DOS),None,11.490.000đ,https://lh3.googleusercontent.com/SWrKIkgozcHz6XKQHEXBfxw3F_Ol5dGn9rQfTj1EdFPcmnSvSoogCpRIBwvApmV9WEPfrZaRj0uXFyuq0Xc=w500-rw
Máy tính để bàn - PC Acer AS XC-885 (i5-8400/4GB/1TB HDD/GT 730/Endless),13.590.000đ,10.590.000đ,https://lh3.googleusercontent.com/b4NmhXEsevBRVb0VFDdMyUlSerga1j9mBFr8IwIoQFAJtPJSKpIi4_Df0rG2VN8gG8bhB2cLKTIoJ9erKDw=w500-rw
