Tên sản phẩm,Giá trước khi giảm,Giá sau khi giảm,Image_url
Laptop HP Pavilion 14-ce3014TU (8QP03PA) (14" FHD/i3-1005G1/4GB/256GB SSD/Intel UHD/Win10/1.6kg),13.490.000đ,12.690.000đ,https://lh3.googleusercontent.com/Aosb72jS0DApXfqvPL6EKeAR6Y0WZIxnvOf8c_M3si5YRbD9HE7dRQ3NfIOtsQLD0pgVg7ca36-ufGq-fsk=w500-rw
Laptop MSI Alpha 15 A3DDK-212VN (15.6" FHD 120Hz/R7 3750H/8GB/512GB SSD/Radeon RX 5500M/Win10/2.3kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/XZOfzID28InfJ3V0yGalmEXkK8jWJiMSg1FVBl8BP1mSDLbK50J5tq7HjtUnfuL3_XSU6X9sags_ngJ1_mTi=w500-rw
Laptop MSI GF63 9SCXR-075VN (15.6" FHD/i5-9300H/8GB/512GB SSD/GeForce GTX 1650/Win10/1.9kg),None,18.990.000đ,https://lh3.googleusercontent.com/8qWpd-BQk8XPyU-iMx70EAR9HGd16HZaHJBCO0NRiTKAjc4lhtvboSv4ksw7tOKEsWgQuM9m7NlskAOD5g=w500-rw
Laptop Lenovo Ideapad S340-14IIL-81VV003TVN (14" FHD/i3-1005G1/4GB/512GB SSD/Intel UHD/Win10/1.6kg),None,13.499.000đ,https://lh3.googleusercontent.com/ntwMOAuCGVflEuTmRedZBdo3g7uLJTXYuVyG39pvkRAYohR4Lg_g_bSXBcirkN8LBXtC1z6za0qeHIG74vU=w500-rw
Laptop Acer Aspire 3 A315-55G-59BC (NX.HNSSV.003) (15.6" FHD/i5-10210U/4GB/256GB SSD/GeForce MX230/Win10/1.7kg),15.490.000đ,14.690.000đ,https://lh3.googleusercontent.com/G2kYWlc5d0CLEM3EqUGjkADy4ZWeiSsgEt6L16nAMHr0okO3OlZnV2AYSUUwuEf9n7cflXKJb8y96LlGolg=w500-rw
Laptop Acer Predator Helios 300 PH315-52-78MG (NH.Q53SV.009) (15.6" FHD 144Hz/i7-9750H/8GB/512GB SSD/GeForce GTX 1660Ti/Win10/2.3kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/vfoPWYG0U3ZYcwVoaX3Wxr94vPT__nAO7DYZ1OFX_uFZVx4DybznD30zPB7mSxlOpl-W6HSMbErQYeTxAcLy=w500-rw
Laptop Dell Inspiron 15 3593-N3593B (15.6" FHD/i5-1035G1/4GB/1TB HDD/Intel UHD/Win10/2kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/Z-BVrMF4ItnlK0rf1LrzuNjt1lhlHB4wHf8USCgDVLvskusmGG0GN9IpVglwhCoNJ_S0shbuRz_cGINf__w=w500-rw
Laptop Dell Vostro 15 3590-V3590B (15.6" FHD/i5-10210U/8GB/256GB SSD/Radeon 610/Win10/2.2kg),16.390.000đ,15.490.000đ,https://lh3.googleusercontent.com/8vwfg-o2ixCN3fjkBdmiHKD0j_D-x3Iks7POgs6LAFTJQN87HRCcS0yCPLUsfqvkTjAV3yqKHT21cOeAPGA=w500-rw
Laptop HP ProBook 445R G6-9VC64PA (14" FHD/R5 3500U/4GB/256GB SSD/Radeon Vega 8/Win10/1.6kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/9RkGe31HYjU8s2IbUjEow62GHib57mobfmNj9aupe8A43ASKhHvZH5rUaQmEb-HRPUjbJk6_1hBgvQb7K5U=w500-rw
Laptop ASUS 15 X509UA-EJ116T (15.6" FHD/i3-7020U/4GB/1TB HDD/HD 620/Win10/1.8kg),10.190.000đ,9.590.000đ,https://lh3.googleusercontent.com/6kwCTmLtzpIuF4FpMrs4C5kPGOYtRZlpDcR66YFuHj_BHHiWDOuJ-S36UWUDuFsJSh4uiAXs1qlcsftI3Jg=w500-rw
Laptop ASUS ZenBook 13 UX334FAC-A4059T (13.3" FHD/i5-10210U/8GB/512GB SSD/Intel UHD/Win10/1.3kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/qhsl5zROuUv4joEpYPrR5xJ4Lplih0uLOHQONMMzIYItW1XZVOrSkFpnJYwYWOYFrTMHmZFuzwjYVlgtOg=w500-rw
Laptop Lenovo Ideapad L340-15IRH-81LK00VUVN (15.6" FHD/i7-9750H/8GB/512GB SSD/GeForce GTX 1050/Win10/2.1kg),None,22.490.000đ,https://lh3.googleusercontent.com/jbQBNJ0Iew7yP_konESn-qqQFkBkT_VZSL-pb1LJIfzJs9oTgePTPw90g4uU1HiTeBA_1u8HXDEky3dz5UM=w500-rw
Laptop Lenovo Ideapad S145-15IIL-81W8001YVN (15.6" FHD/i5-1035G1/4GB/256GB SSD/Intel UHD/Win10/1.8kg),13.290.000đ,12.390.000đ,https://lh3.googleusercontent.com/C-sK86L3_V7BT3hsLLanOt487NIwU9aaKLQ23ZL8GkY0kY-ksUdeGBJM65mhqhvEPI0eoUXRx5P7GyRK6WU=w500-rw
