Tên sản phẩm,Giá trước khi giảm,Giá sau khi giảm,Image_url
Thùng máy/ Case CM MasterCase H500P TG Mesh White ARGB,None,4.140.000đ,https://lh3.googleusercontent.com/ds4xXsVeOTOyfwmxEsuQ-JO3eRccbnI6ghb2OoIJfkanVbMLm5A6ue_CIHUjyY07Z-QCy3EjxBc1QZmqHwxE=w500-rw
Thùng máy/ Case CM MasterBox MB500 ARGB,None,2.050.000đ,https://lh3.googleusercontent.com/jZiINBqf5bbrX31aGJvnPjpoRv87nrW3voKPl1pMpoJN-LAg0BE5aUsO6cuMEhTUPQqbColljpUlu80UBQ=w500-rw
Thùng máy/ Case CM MasterBox K500 TG ARGB,None,2.010.000đ,https://lh3.googleusercontent.com/jVzDYx3TiVaqWqkvoquw5goiG0P90TyISevcVYcajzZMbt3kpT5v9SuQgrk7fuuu55WHzVvc9E4MmGYWAPY=w500-rw
Thùng máy/ Case CM MasterBox MB511 TG ARGB,None,2.100.000đ,https://lh3.googleusercontent.com/yYHJ_D2FXO66sOjTjVrFmEXfnE9E6Vq1E6qNZIgonBNN9qMdxdjdOddb8HnMQ-7dECjiQgKFPh4hekRrF2M=w500-rw
Thùng máy/ Case CM MasterBox MB520 TG ARGB,None,2.150.000đ,https://lh3.googleusercontent.com/BXU_A8XGfiEmR3kBEBg4juMilmMobw28cSY76jSO8-eL7nfHOK2w9HPTlrJ9BNh4BMkyUTAS-0vMff4H1Dw=w500-rw
Thùng máy/ Case Sama W01,None,830.000đ,https://lh3.googleusercontent.com/D3Uu-Kbq4pc1pBM2Z-cqCuSMbhvx4y3qMoXLlr7D32qQeNVEINgBSd6OYkfBABNi68H_Z1yPNBx_YmeGQQ=w500-rw
CPU AMD Ryzen 5 3500 (6C/6T - 3.6 GHz up to 4.1 GHz - 16MB) - AM4,None,3.090.000đ,https://lh3.googleusercontent.com/LZ25GgiDK-2iUPR61RYozt2blBHxwmJt8OevqyVGnnAxr_PcU_WuUdGxJE9aP_CZOSKwSD7v0-mKCZX0Ze4B=w500-rw
Nguồn máy tính FSP HV PRO 550W - 550W - 80 Plus White,None,890.000đ,https://lh3.googleusercontent.com/kBvakgmxETnFr1AP2rIxMJhwp3_FLmlWTXhrdAICqa4w-NKem43qdL-sGdzkz3qeLwZrvfUJKoQ--iWDbVuh=w500-rw
Quạt CPU Noctua NH-D15 CH.BK,None,2.960.000đ,https://lh3.googleusercontent.com/jJy1PNv7z8gIt-QA4o7i1Qa6A99ylH2Dah2Zu3xre4OEf2Ixf1aFiQjtqURmTXpVqsrQkdTU8Cek1tIJTSA=w500-rw
ổ cứng HDD NAS WD Red 4TB Sata3 5400rpm (WD40EFAX),None,3.390.000đ,https://lh3.googleusercontent.com/5itHSgV1dxliQcYoSatSpwcCv7XRnY8-9QLZCU5meyr7JGGMVCzTzkp95DV0dNaCmvL6IE6P9khLOHsL6hos=w500-rw
